"Historical price chart data"
"Date: 01/02/2016 - 09/12/2016"
"RENAULT"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"FR0000131906","Euronext Paris","11/03/2016","80.65","82.63","79.54","82.43","1139731","11955","92815809.25","EUR"
"FR0000131906","Euronext Paris","14/03/2016","82.99","84.61","82.71","84.22","763663","7347","64276281.03","EUR"
"FR0000131906","Euronext Paris","15/03/2016","83.64","84.46","83.06","84.05","648762","6528","54405849.81","EUR"
"FR0000131906","Euronext Paris","16/03/2016","84.66","86.31","84.64","86.03","880834","8134","75546448.45","EUR"
"FR0000131906","Euronext Paris","17/03/2016","86.89","87.14","83.01","85.00","868518","9106","73615782.10","EUR"
"FR0000131906","Euronext Paris","18/03/2016","85.31","86.29","84.67","85.75","936203","7421","80255799.46","EUR"
"FR0000131906","Euronext Paris","21/03/2016","85.35","87.10","84.76","85.51","631009","7770","54197743.11","EUR"
"FR0000131906","Euronext Paris","22/03/2016","85.41","88.07","84.40","88.07","1131769","12480","98239076.24","EUR"
"FR0000131906","Euronext Paris","23/03/2016","88.52","88.93","86.43","87.05","686344","8216","60153601.37","EUR"
"FR0000131906","Euronext Paris","24/03/2016","86.50","86.53","84.60","84.60","556414","6790","47439400.82","EUR"
"FR0000131906","Euronext Paris","29/03/2016","85.35","85.81","84.48","85.54","538493","6590","45896660.09","EUR"
"FR0000131906","Euronext Paris","30/03/2016","85.73","88.36","85.62","87.84","892792","9840","78078463.69","EUR"
"FR0000131906","Euronext Paris","31/03/2016","87.24","88.15","86.60","87.32","789084","9095","69000139.99","EUR"
"FR0000131906","Euronext Paris","01/04/2016","86.00","86.43","84.27","85.24","802403","9180","68483887.22","EUR"
"FR0000131906","Euronext Paris","04/04/2016","85.04","86.50","84.25","86.03","750087","8558","64293245.00","EUR"
"FR0000131906","Euronext Paris","05/04/2016","84.72","84.72","81.58","81.82","1069946","11044","88111517.63","EUR"
"FR0000131906","Euronext Paris","06/04/2016","82.16","83.20","80.22","82.03","945341","9834","77163294.12","EUR"
"FR0000131906","Euronext Paris","07/04/2016","82.53","82.61","79.61","80.14","1226967","12449","99218428.75","EUR"
"FR0000131906","Euronext Paris","08/04/2016","80.55","82.51","80.55","81.80","795341","9210","65105145.83","EUR"
"FR0000131906","Euronext Paris","11/04/2016","81.52","83.12","80.46","82.40","697213","7592","57257626.23","EUR"
"FR0000131906","Euronext Paris","12/04/2016","82.75","83.97","81.66","83.89","729090","8452","60637865.46","EUR"
"FR0000131906","Euronext Paris","13/04/2016","85.36","87.00","85.06","86.95","931837","9472","80642588.42","EUR"
"FR0000131906","Euronext Paris","14/04/2016","87.00","88.10","86.33","88.10","984326","10218","85962414.89","EUR"
"FR0000131906","Euronext Paris","15/04/2016","87.43","88.45","86.35","86.47","945224","12617","82409945.76","EUR"
"FR0000131906","Euronext Paris","18/04/2016","85.10","88.39","84.87","88.03","1033631","11521","90397210.93","EUR"
"FR0000131906","Euronext Paris","19/04/2016","88.10","90.24","87.54","90.00","1241095","11406","110666118.64","EUR"
"FR0000131906","Euronext Paris","20/04/2016","89.29","89.98","86.30","89.05","2231160","22628","198347138.75","EUR"
"FR0000131906","Euronext Paris","21/04/2016","89.40","90.58","87.55","87.71","1048963","13263","92924264.96","EUR"
"FR0000131906","Euronext Paris","22/04/2016","87.01","88.07","85.37","87.34","1307673","13812","113606181.50","EUR"
"FR0000131906","Euronext Paris","25/04/2016","87.36","88.59","86.37","88.00","932482","11721","81816857.45","EUR"
"FR0000131906","Euronext Paris","26/04/2016","88.16","89.07","87.77","88.43","761696","9117","67330959.56","EUR"
"FR0000131906","Euronext Paris","27/04/2016","88.68","89.40","87.81","88.51","636130","7188","56238864.45","EUR"
"FR0000131906","Euronext Paris","28/04/2016","86.50","88.26","86.09","88.26","819407","9171","71480826.49","EUR"
"FR0000131906","Euronext Paris","29/04/2016","87.34","87.78","84.28","84.28","1315308","12544","112267655.72","EUR"
"FR0000131906","Euronext Paris","02/05/2016","84.00","84.90","83.51","84.23","624057","7758","52625648.58","EUR"
"FR0000131906","Euronext Paris","03/05/2016","83.91","84.00","81.91","81.95","972731","10571","80076306.26","EUR"
"FR0000131906","Euronext Paris","04/05/2016","81.90","82.49","81.18","81.36","767507","8946","62662184.47","EUR"
"FR0000131906","Euronext Paris","05/05/2016","81.60","81.78","80.07","80.43","505661","6037","40826727.70","EUR"
"FR0000131906","Euronext Paris","06/05/2016","80.13","81.85","79.72","81.03","795744","9400","64270119.37","EUR"
"FR0000131906","Euronext Paris","09/05/2016","81.87","82.39","80.25","80.63","1085183","11371","88232089.88","EUR"
"FR0000131906","Euronext Paris","10/05/2016","81.50","82.88","81.31","82.26","1235948","14101","101717645.96","EUR"
"FR0000131906","Euronext Paris","11/05/2016","82.26","82.49","81.10","81.28","756482","8799","61626540.66","EUR"
"FR0000131906","Euronext Paris","12/05/2016","80.71","83.05","80.10","82.18","1313586","12717","107803425.78","EUR"
"FR0000131906","Euronext Paris","13/05/2016","80.10","81.11","79.93","80.75","1112425","13142","89605245.23","EUR"
"FR0000131906","Euronext Paris","16/05/2016","80.17","80.37","79.05","80.25","461565","5724","36810051.59","EUR"
"FR0000131906","Euronext Paris","17/05/2016","80.60","80.68","77.52","77.80","1674222","18015","131447462.57","EUR"
"FR0000131906","Euronext Paris","18/05/2016","77.53","78.32","76.74","77.93","1504060","11849","116551169.82","EUR"
"FR0000131906","Euronext Paris","19/05/2016","77.57","79.65","77.03","79.05","974308","9645","76743334.82","EUR"
"FR0000131906","Euronext Paris","20/05/2016","79.71","80.14","78.90","79.89","1017503","10136","80996863.14","EUR"
"FR0000131906","Euronext Paris","23/05/2016","80.00","80.28","78.52","78.98","882209","8696","69805739.24","EUR"
"FR0000131906","Euronext Paris","24/05/2016","78.63","81.69","77.85","81.62","867416","9560","69892607.70","EUR"
"FR0000131906","Euronext Paris","25/05/2016","82.42","83.82","82.05","83.13","790611","8578","65720569.29","EUR"
"FR0000131906","Euronext Paris","26/05/2016","82.79","85.34","82.61","85.34","1012950","9829","85680914.79","EUR"
"FR0000131906","Euronext Paris","27/05/2016","85.07","85.23","83.67","83.94","775479","8112","65265211.86","EUR"
"FR0000131906","Euronext Paris","30/05/2016","84.00","85.27","84.00","85.15","374426","4076","31789199.40","EUR"
"FR0000131906","Euronext Paris","31/05/2016","85.15","85.60","83.85","84.34","1010062","8064","85472762.07","EUR"
"FR0000131906","Euronext Paris","01/06/2016","84.21","84.40","82.53","83.07","984791","10940","81846692.71","EUR"
"FR0000131906","Euronext Paris","02/06/2016","83.06","84.47","82.43","83.51","779796","10248","65095314.31","EUR"
"FR0000131906","Euronext Paris","03/06/2016","84.17","84.21","80.23","80.28","1365476","12109","110868824.50","EUR"
"FR0000131906","Euronext Paris","06/06/2016","80.41","80.79","79.91","80.38","1164409","11916","93675335.93","EUR"
"FR0000131906","Euronext Paris","07/06/2016","80.87","83.05","80.67","82.90","904817","9852","74439783.77","EUR"
"FR0000131906","Euronext Paris","08/06/2016","82.78","82.92","81.40","81.50","657162","6446","53866759.75","EUR"
