"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 16-Jul-2007",428.89,407.99,410.24,,13.34,12.69,12.76,
"00:00:00 16-Jun-2007",428.89,394.17,421.98,,13.34,12.26,13.13,
"00:00:00 17-May-2007",440.79,413.46,419.89,,13.71,12.86,13.06,
"00:00:00 17-Apr-2007",453.00,418.60,423.10,,14.09,13.02,13.16,
"00:00:00 18-Mar-2007",453.00,420.21,453.00,,14.09,13.07,14.09,
"00:00:00 16-Feb-2007",468.76,405.26,420.21,,14.58,12.60,13.07,
"00:00:00 17-Jan-2007",449.47,403.49,449.47,,13.98,12.55,13.98,
"00:00:00 18-Dec-2006",441.43,392.56,412.82,,13.73,12.21,12.84,
"00:00:00 18-Nov-2006",451.72,409.92,441.43,,14.05,12.75,13.73,
"00:00:00 19-Oct-2006",418.76,371.98,409.92,,13.02,11.57,12.75,
"00:00:00 19-Sep-2006",380.99,345.30,378.09,,11.85,10.74,11.76,
"00:00:00 20-Aug-2006",422.78,344.01,352.69,,13.15,10.70,10.97,
"00:00:00 21-Jul-2006",400.28,345.30,386.13,,12.45,10.74,12.01,
"00:00:00 21-Jun-2006",377.77,324.40,356.23,,11.75,10.09,11.08,
"00:00:00 22-May-2006",422.14,312.51,326.33,,13.13,9.72,10.15,
"00:00:00 22-Apr-2006",480.33,391.76,399.63,,14.94,12.19,12.43,
"00:00:00 23-Mar-2006",460.08,337.58,391.76,,14.31,10.50,12.19,
"00:00:00 21-Feb-2006",338.55,305.11,338.55,,10.53,9.49,10.53,
"00:00:00 22-Jan-2006",318.61,286.95,306.72,,9.91,8.93,9.54,
"00:00:00 23-Dec-2005",295.47,269.58,291.93,,9.19,8.38,9.08,
"00:00:00 23-Nov-2005",296.59,258.81,269.58,,9.22,8.05,8.38,
"00:00:00 24-Oct-2005",262.51,238.56,262.51,,8.16,7.42,8.16,
"00:00:00 24-Sep-2005",252.70,232.29,244.35,,7.86,7.23,7.60,
"00:00:00 25-Aug-2005",238.64,216.70,234.38,,7.42,6.74,7.29,
"00:00:00 26-Jul-2005",233.25,223.77,223.93,,7.25,6.96,6.97,
"00:00:00 26-Jun-2005",234.22,221.36,228.59,,7.29,6.89,7.11,
"00:00:00 27-May-2005",242.10,227.63,234.22,,7.53,7.08,7.29,
"00:00:00 27-Apr-2005",233.58,220.23,227.63,,7.27,6.85,7.08,
"00:00:00 28-Mar-2005",234.22,222.48,233.58,,7.29,6.92,7.27,
"00:00:00 26-Feb-2005",243.38,222.32,222.97,,7.57,6.91,6.94,
"00:00:00 27-Jan-2005",242.74,208.50,232.85,,7.55,6.49,7.24,
"00:00:00 28-Dec-2004",224.09,205.44,216.05,,6.97,6.39,6.72,
"00:00:00 28-Nov-2004",258.49,214.93,221.36,,8.04,6.69,6.89,
"00:00:00 29-Oct-2004",247.24,226.50,246.60,,7.69,7.04,7.67,
"00:00:00 29-Sep-2004",239.20,209.94,226.98,,7.44,6.53,7.06,
"00:00:00 30-Aug-2004",217.34,197.08,211.87,,6.76,6.13,6.59,
"00:00:00 31-Jul-2004",219.27,206.41,214.61,,6.82,6.42,6.68,
