Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
00:00:00 25-Jan-2015,41769.37,40265.03,40562.99,,1299.17,1252.38,1261.65
00:00:00 15-Jan-2015,42008.89,39423.49,41615.77,,1306.62,1226.21,1294.40
00:00:00 05-Jan-2015,39998.18,38050.41,39578.53,,1244.08,1183.50,1231.03
00:00:00 26-Dec-2014,38897.58,37589.05,38050.41,,1209.85,1169.15,1183.50
00:00:00 16-Dec-2014,39339.65,37645.31,37843.04,,1223.60,1170.90,1177.05
00:00:00 06-Dec-2014,39809.05,38174.19,38540.71,,1238.20,1187.35,1198.75
00:00:00 26-Nov-2014,39259.28,36751.52,38333.34,,1221.10,1143.10,1192.30
00:00:00 16-Nov-2014,38221.45,38221.45,38221.45,,1188.82,1188.82,1188.82
00:00:00 06-Nov-2014,38375.37,36400.19,38221.45,,1193.61,1132.17,1188.82
00:00:00 27-Oct-2014,39716.86,36592.05,36767.43,,1235.33,1138.14,1143.59
00:00:00 17-Oct-2014,40351.12,39435.46,39489.96,,1255.06,1226.58,1228.28
00:00:00 07-Oct-2014,40170.43,38680.00,39823.04,,1249.44,1203.08,1238.64
00:00:00 27-Sep-2014,39331.29,38045.26,38795.66,,1223.34,1183.34,1206.68
00:00:00 17-Sep-2014,39843.21,38815.76,39171.59,,1239.26,1207.31,1218.37
00:00:00 07-Sep-2014,40889.48,39409.34,39711.16,,1271.80,1225.77,1235.16
00:00:00 28-Aug-2014,41680.63,40426.35,40796.78,,1296.41,1257.40,1268.92
00:00:00 18-Aug-2014,41913.87,40941.51,41266.13,,1303.67,1273.42,1283.52
00:00:00 08-Aug-2014,42521.02,41566.02,41855.63,,1322.55,1292.85,1301.86
00:00:00 29-Jul-2014,42256.95,41175.04,42158.95,,1314.34,1280.69,1311.29
00:00:00 19-Jul-2014,42387.82,41406.99,41935.46,,1318.41,1287.90,1304.34
00:00:00 09-Jul-2014,43241.95,41559.99,42148.10,,1344.97,1292.66,1310.95
00:00:00 29-Jun-2014,42835.56,42125.00,42380.99,,1332.33,1310.23,1318.20
00:00:00 19-Jun-2014,42624.43,41027.37,42316.81,,1325.77,1276.09,1316.20
00:00:00 09-Jun-2014,41312.71,40201.45,41109.46,,1284.97,1250.40,1278.65
00:00:00 30-May-2014,40525.32,39904.98,40323.59,,1260.48,1241.18,1254.20
00:00:00 20-May-2014,41909.76,40240.77,40413.01,,1303.54,1251.63,1256.99
00:00:00 10-May-2014,42083.37,41157.34,41591.57,,1308.94,1280.14,1293.64
00:00:00 30-Apr-2014,42292.26,41011.41,41436.20,,1315.44,1275.60,1288.81
00:00:00 20-Apr-2014,42004.33,40797.57,41671.85,,1306.48,1268.95,1296.14
00:00:00 10-Apr-2014,42792.73,41494.53,41645.83,,1331.00,1290.62,1295.33
00:00:00 31-Mar-2014,42282.30,41087.25,42156.23,,1315.13,1277.96,1311.21
00:00:00 21-Mar-2014,43162.67,41348.29,41673.46,,1342.51,1286.08,1296.19
00:00:00 11-Mar-2014,44762.18,42463.42,42797.34,,1392.26,1320.76,1331.15
00:00:00 01-Mar-2014,43558.10,42637.36,43099.54,,1354.81,1326.17,1340.55
00:00:00 19-Feb-2014,43255.83,42048.60,42646.52,,1345.41,1307.86,1326.46
00:00:00 09-Feb-2014,42830.31,40680.15,42461.84,,1332.17,1265.29,1320.71
00:00:00 30-Jan-2014,40960.06,39821.19,40743.03,,1274.00,1238.58,1267.25
00:00:00 20-Jan-2014,41102.82,39603.06,40730.82,,1278.44,1231.79,1266.87
00:00:00 10-Jan-2014,40508.67,39471.17,40395.60,,1259.96,1227.69,1256.44
00:00:00 31-Dec-2013,40131.06,38074.12,39514.78,,1248.22,1184.24,1229.05
00:00:00 21-Dec-2013,39185.25,38359.55,38539.26,,1218.80,1193.12,1198.70
00:00:00 11-Dec-2013,40607.76,38179.48,38684.26,,1263.04,1187.51,1203.21
00:00:00 01-Dec-2013,40760.31,38966.30,40553.42,,1267.79,1211.99,1261.35
00:00:00 21-Nov-2013,40434.71,39484.01,40231.35,,1257.66,1228.09,1251.33
00:00:00 11-Nov-2013,41611.91,39921.10,40101.95,,1294.28,1241.69,1247.31
00:00:00 01-Nov-2013,42685.90,41211.31,41395.37,,1327.68,1281.82,1287.54
00:00:00 22-Oct-2013,43785.62,42139.02,42550.71,,1361.89,1310.67,1323.48
00:00:00 12-Oct-2013,42634.46,40257.56,42301.22,,1326.08,1252.15,1315.72
00:00:00 02-Oct-2013,42756.96,40609.45,40941.47,,1329.89,1263.10,1273.42
00:00:00 22-Sep-2013,43467.17,41259.21,41444.08,,1351.98,1283.30,1289.05
00:00:00 12-Sep-2013,44212.42,41542.46,42667.77,,1375.16,1292.11,1327.12
00:00:00 02-Sep-2013,45542.34,43641.42,43893.32,,1416.53,1357.40,1365.23
00:00:00 23-Aug-2013,46096.29,44014.05,44395.68,,1433.75,1368.99,1380.86
00:00:00 13-Aug-2013,44519.46,42327.42,44208.88,,1384.71,1316.53,1375.05
00:00:00 03-Aug-2013,43216.68,40943.98,42868.36,,1344.19,1273.50,1333.36
00:00:00 24-Jul-2013,43298.54,41275.29,42188.66,,1346.74,1283.81,1312.21
00:00:00 14-Jul-2013,43356.09,40856.53,43202.89,,1348.53,1270.78,1343.76
00:00:00 04-Jul-2013,41761.73,38859.80,41363.11,,1298.94,1208.67,1286.54
00:00:00 24-Jun-2013,41842.43,37975.02,40372.50,,1301.45,1181.16,1255.73
00:00:00 14-Jun-2013,44764.77,40821.34,41819.92,,1392.34,1269.69,1300.74
00:00:00 04-Jun-2013,45771.57,43955.22,44562.74,,1423.65,1367.16,1386.06
00:00:00 25-May-2013,45716.42,44179.16,45420.22,,1421.94,1374.13,1412.73
00:00:00 15-May-2013,45988.29,43051.54,44592.37,,1430.40,1339.05,1386.98
00:00:00 05-May-2013,47553.42,45674.89,45988.29,,1479.08,1420.65,1430.40
00:00:00 25-Apr-2013,47849.19,45891.02,47290.40,,1488.28,1427.37,1470.90
00:00:00 15-Apr-2013,48087.77,42513.05,45984.44,,1495.70,1322.30,1430.28
00:00:00 05-Apr-2013,51136.86,47543.90,47914.03,,1590.53,1478.78,1490.29
00:00:00 26-Mar-2013,51713.31,49527.83,49915.31,,1608.46,1540.49,1552.54
00:00:00 16-Mar-2013,51980.75,51132.52,51641.95,,1616.78,1590.40,1606.24
00:00:00 06-Mar-2013,51421.45,50231.22,51191.48,,1599.39,1562.37,1592.23
00:00:00 24-Feb-2013,52071.84,50319.22,50719.48,,1619.62,1565.10,1577.55
00:00:00 14-Feb-2013,53038.02,50045.66,50870.30,,1649.67,1556.59,1582.24
00:00:00 04-Feb-2013,54165.94,52775.90,52834.70,,1684.75,1641.51,1643.34
00:00:00 25-Jan-2013,54085.29,53174.10,53619.79,,1682.24,1653.90,1667.76
00:00:00 15-Jan-2013,54530.89,53610.61,53647.39,,1696.10,1667.48,1668.62
